127.0.0.1 - - [08/Apr/2020:22:13:19 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:13:26 +0530] "GET /BankApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:13:26 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:13:27 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:13:27 +0530] "GET /BankApp/assests/images/cororsel7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:34 +0530] "GET /BankApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/images/cororsel7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:35 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:36 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:36 +0530] "GET /BankApp/assests/fonts/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:52 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:52 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:14:59 +0530] "GET /BankApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:09 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:09 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:09 +0530] "GET /BankApp/assests/commoncss/homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:09 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:12 +0530] "GET /BankApp/changepassword.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:12 +0530] "GET /BankApp/assests/commoncss/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:37 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:42 +0530] "GET /BankApp/changepassword.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:46 +0530] "GET /BankApp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:22:15:51 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5399
