127.0.0.1 - - [31/Mar/2020:21:28:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/ HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/commoncss/containerfluidinlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/images/corosel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/images/corosel5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:57 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:58 +0530] "GET /BankApp/assests/fonts/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:28:58 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/ HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/commoncss/containerfluidinlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/images/corosel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/images/corosel5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:39 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:40 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:29:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:33:25 +0530] "GET /BankApp/ HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:42:30 +0530] "GET /BankApp/ HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:42:52 +0530] "GET /BankApp/ HTTP/1.1" 200 5627
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:45:42 +0530] "GET /BankApp/ HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:53:17 +0530] "GET /BankApp/ HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:53:17 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:53:20 +0530] "GET /BankApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:54:28 +0530] "GET /BankApp/ HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:54:28 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:54:31 +0530] "GET /BankApp/assests/images/loginbackimg.jpg HTTP/1.1" 200 56056
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:55:31 +0530] "GET /BankApp/ HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [31/Mar/2020:21:55:31 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:15:29 +0530] "GET /BankApp/ HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:15:29 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:15:32 +0530] "GET /BankApp/assests/fonts/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 76612
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:21:31 +0530] "GET /BankApp/ HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:21:31 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:23:50 +0530] "GET /BankApp/ HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:23:50 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:28:44 +0530] "GET /BankApp/ HTTP/1.1" 200 5287
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:28:44 +0530] "GET /BankApp/assests/css/logincss1.css HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:28:44 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:30:13 +0530] "GET /BankApp/ HTTP/1.1" 200 5457
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:30:13 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:30:13 +0530] "GET /BankApp/assests/css/logincss1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:57:24 +0530] "GET /BankApp/ HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [31/Mar/2020:22:57:24 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
