127.0.0.1 - - [07/Apr/2020:21:46:07 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:08 +0530] "GET /BankApp/ HTTP/1.1" 200 6401
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:08 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:08 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:08 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/images/cororsel7.jpg HTTP/1.1" 200 41386
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/fonts/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:09 +0530] "GET /BankApp/assests/fonts/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:31 +0530] "GET /BankApp/ HTTP/1.1" 200 6401
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:31 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:31 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:31 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:31 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:31 +0530] "GET /BankApp/assests/images/cororsel7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:46:56 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:48:37 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5398
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:48:45 +0530] "GET /BankApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:48:53 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5398
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:48:57 +0530] "GET /BankApp/forgotpwd.jsp HTTP/1.1" 200 5398
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:14 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:15 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:15 +0530] "GET /BankApp/assests/commoncss/homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:29 +0530] "GET /BankApp/services.jsp HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:32 +0530] "GET /BankApp/contact.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:41 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [07/Apr/2020:21:50:43 +0530] "GET /BankApp/services.jsp HTTP/1.1" 200 3274
