127.0.0.1 - - [04/Apr/2020:19:45:26 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:28 +0530] "GET /BankApp/ HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:28 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:28 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:28 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:28 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:28 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:29 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:29 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:29 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:29 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:29 +0530] "GET /BankApp/assests/images/tr.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:29 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:31 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:31 +0530] "GET /BankApp/assests/fonts/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:45:31 +0530] "GET /BankApp/assests/fonts/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:46:03 +0530] "GET /BankApp/ HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:46:04 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:19:46:04 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
