127.0.0.1 - - [02/Apr/2020:21:04:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:29 +0530] "GET /BankApp/ HTTP/1.1" 200 4993
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:29 +0530] "GET /BankApp/assests/commoncss/containerfluidinlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:29 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:29 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:29 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:29 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/images/Digital-Payments.jpg HTTP/1.1" 200 31623
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 200 47605
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:30 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:32 +0530] "GET /BankApp/assests/fonts/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:32 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:54 +0530] "GET /BankApp/ HTTP/1.1" 200 4993
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/commoncss/containerfluidinlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/images/Digital-Payments.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:04:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:05:14 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:05:16 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:05:16 +0530] "GET /BankApp/assests/commoncss/homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:06:38 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:08:58 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:09:00 +0530] "GET /BankApp/transferamt.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:18:08 +0530] "GET /BankApp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:18:08 +0530] "GET /BankApp/login.html HTTP/1.1" 200 4993
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:18:18 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:18:18 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:59:30 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [02/Apr/2020:21:59:33 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [02/Apr/2020:22:00:11 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [02/Apr/2020:22:00:13 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [02/Apr/2020:22:03:14 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 2946
