127.0.0.1 - - [05/Apr/2020:20:48:06 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/ HTTP/1.1" 200 6691
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/images/tr.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:07 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:08 +0530] "GET /BankApp/assests/fonts/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:08 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:48:08 +0530] "GET /BankApp/assests/fonts/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/ HTTP/1.1" 200 6691
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/assests/commoncss/logincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/assests/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:14 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/images/loginform.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/fonts/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/images/tr.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:54 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:54 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:50:54 +0530] "GET /BankApp/assests/commoncss/homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:51:07 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 4805
0:0:0:0:0:0:0:1 - - [05/Apr/2020:20:58:21 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 4904
0:0:0:0:0:0:0:1 - - [05/Apr/2020:21:00:03 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [05/Apr/2020:21:01:53 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 4875
0:0:0:0:0:0:0:1 - - [05/Apr/2020:21:02:35 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [05/Apr/2020:21:07:59 +0530] "GET /BankApp/homeloan.jsp HTTP/1.1" 200 5370
0:0:0:0:0:0:0:1 - - [05/Apr/2020:21:11:13 +0530] "GET /BankApp/homeloan.jsp HTTP/1.1" 200 4980
0:0:0:0:0:0:0:1 - - [05/Apr/2020:21:12:10 +0530] "GET /BankApp/homeloan.jsp HTTP/1.1" 200 4958
