127.0.0.1 - - [22/Mar/2020:20:37:11 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:37:13 +0530] "GET /BankApp/ HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:37:57 +0530] "GET /BankApp/ HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:37:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:38:04 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:38:04 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:38:36 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:56:28 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:56:33 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:56:48 +0530] "GET /BankApp/Loanhome.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [22/Mar/2020:20:56:56 +0530] "GET /BankApp/Loan.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:16:14 +0530] "GET /BankApp/ HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:16:27 +0530] "GET /BankApp/ HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:16:32 +0530] "POST /BankApp/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:16:32 +0530] "GET /BankApp/home.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:16:39 +0530] "GET /BankApp/Loanhome.jsp HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:21:07 +0530] "GET /BankApp/Loanhome.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:21:07 +0530] "GET /BankApp/loanhomecss.css HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:23:43 +0530] "GET /BankApp/Loanhome.jsp HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [22/Mar/2020:22:23:43 +0530] "GET /BankApp/loanhomecss.css HTTP/1.1" 304 -
